	IDNPROCEEDING	IDNCASE	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY	CASE_TYPE	NAT	LANG	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED	DATE_RELEASED
120	8621789	8864620	2019-03-29 00:00:00.000	2019-04-05 00:00:00.000	ELP	ENP	NHB						2019-04-24 00:00:00.000	1300.0	W				C			2019-06-20 00:00:00.000	N	2019-06-24 13:28:17.473	PHI	2019-07-22 00:00:00.000	V	N	RMV	GT	SP			N		0.0		
121	8621790	8864621	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	GT					2019-05-31 00:00:00.000	Y			2019-07-01 00:00:00.000		N	RMV	GT	SP			N		0.0		
122	8621798	8864628	2019-03-29 00:00:00.000	2019-04-05 00:00:00.000	ELP	ENP	NHB						2019-04-24 00:00:00.000	1300.0	W				C			2019-06-20 00:00:00.000	N	2019-06-24 13:33:57.637	PHI	2019-07-22 00:00:00.000	V	N	RMV	GT	SP			N		0.0		
123	8621801	8864631	2019-03-29 00:00:00.000	2019-04-05 00:00:00.000	ELP	ENP	NHB						2019-04-24 00:00:00.000	1300.0	W				C			2019-06-20 00:00:00.000	N	2019-06-24 13:34:57.487	PHI	2019-07-22 00:00:00.000	V	N	RMV	GT	SP			N		0.0		
124	8621815	8864644	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0					T			2019-04-19 00:00:00.000	N	2019-04-30 10:56:03.610	OTO	2019-05-20 00:00:00.000	V	N	RMV	ES	SP			N		0.0		
125	8621817	8864646	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W				T			2019-05-23 00:00:00.000	N	2019-05-23 09:47:46.750	EPD	2019-06-24 00:00:00.000	V	D	RMV	GT	SP			N		0.0	2019-05-08 00:00:00.000	
126	8621818	8864647	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	HO					2019-05-31 00:00:00.000	Y			2019-07-01 00:00:00.000		N	RMV	HO	SP			N		0.0		
127	8782643	8985176	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-03 00:00:00.000	830.0															RMV	CU	SP							
128	8782648	8985181	2019-06-18 00:00:00.000	2019-06-26 00:00:00.000	ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0															RMV	CU	SP							
129	8782652	8985184	2019-06-18 00:00:00.000		ELP	ENP	RSH						2019-08-15 00:00:00.000	830.0														N	RMV	CU	SP			N		0.0		
