	IDNCASE	ALIEN_CITY	ALIEN_STATE	NAT	LANG	CUSTODY	SITE_TYPE	E_28_DATE	ATTY_NBR	CASE_TYPE	UPDATE_SITE	LATEST_HEARING	LATEST_TIME	LATEST_CAL_TYPE	UP_BOND_DATE	UP_BOND_RSN	CORRECTIONAL_FAC	RELEASE_MONTH	RELEASE_YEAR	INMATE_HOUSING	DATE_OF_ENTRY	C_ASY_TYPE	C_BIRTHDATE	C_RELEASE_DATE	UPDATED_CITY	UPDATED_STATE	ADDRESS_CHANGEDON	ZBOND_MRG_FLAG	GENDER	DATE_DETAINED	DATE_RELEASED	LPR	DETENTION_DATE	DETENTION_LOCATION	DCO_LOCATION	DETENTION_FACILITY_TYPE	CASEPRIORITY_CODE	IDNPROCEEDING	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY_right	CASE_TYPE_right	NAT_right	LANG_right	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC_right	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED_right	DATE_RELEASED_right
13490	8962909			ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		3/2014						F									8753511	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13491	8962910			GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		8/1989						F									8753512	2019-06-03 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13492	8962919			GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		10/2015						M									8753521	2019-06-03 00:00:00.000	2019-06-10 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13493	8962920			GT	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		8/1974						M									8753522	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13494	8962921			GT	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		3/2007						F									8753523	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13495	8962922			HO	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		3/1995						F									8753524	2019-06-03 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
13496	8962923			HO	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		11/2018						M									8753525	2019-06-03 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
13497	8962924	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-02 00:00:00.000		1/1990						M									8753526	2019-06-03 00:00:00.000	2019-06-11 00:00:00.000	ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13498	8962933			ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-05-02 00:00:00.000		2/2012						F									8753535	2019-06-04 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13499	8962934			GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		11/1993						F									8753536	2019-06-04 00:00:00.000	2019-06-10 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
